NOMBRE,EQUIPAMIENTO,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,DISTRITO,LATITUD,LONGITUD
Instalación Deportiva  Básica Embalse de San Juan,Pista de baloncesto. Pista de fútbol sala.,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,EMBALSE DE SAN JUAN,CALLE,1,VILLA DE VALLECAS,40.36264285659688,-3.5981484314802064
Instalación Deportiva Básica Alto del Retiro,Pista polideportiva (marcajes de fútbol sala y balonmano) Pista baloncesto,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,ALTO DEL RETIRO,CALLE,13,VILLA DE VALLECAS,40.36751469466709,-3.588264644913803
Instalación Deportiva Básica Avenida de Cerro Milano,Pista de minibaloncesto. Pista de minifútbol,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,CERRO MILANO,AVENIDA,1,VILLA DE VALLECAS,40.36861899124304,-3.618356801446381
Instalación Deportiva Básica Avenida de las Suertes,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,avenida de las Suertes,AVENIDA,,VILLA DE VALLECAS,40.37029726652408,-3.6120673755658
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,ENSANCHE DE VALLECAS,AVENIDA,11,VILLA DE VALLECAS,40.37029726652408,-3.6120673755658
Instalación Deportiva Básica Avenida del Mediterráneo,Mini pista de patinaje,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e52d112cde58710VgnVCM1000001d4a900aRCRD,LUIS MITJANS,INST. DEPORTIVA BASICA,,DISTRITO,40.40126476374574,-3.670479840720475
Instalación Deportiva Básica Camino de la Suerte,Campo de fútbol 11 de césped artificial.  Campo de fútbol 7 de tierra (próximamente de césped artificial).,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,SUERTE,CAMINO,25,VILLA DE VALLECAS,40.37581378381724,-3.617327043456161
Instalación Deportiva Básica Circuito de Automodelismo,Circuito de automodelismo,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,NAVAMURES,CALLE,2,VILLA DE VALLECAS,40.3728517892704,-3.626705109538528
Instalación Deportiva Básica Colonia Vilda,"2 Pistas polideportivas, (marcajes de fútbol sala y balonmano y 2 baloncestos transversales).",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,PUENTELARRA,CALLE,1,VILLA DE VALLECAS,40.38154336396018,-3.610581791001682
Instalación Deportiva Básica Eduardo Chillida,Pista de minibaloncesto y minifútbol.,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,EDUARDO CHILLIDA,CALLE,1,VILLA DE VALLECAS,40.36302244550467,-3.585074019427532
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),Circuito de bicicletas,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6de45fd3c7e9610VgnVCM1000001d4a900aRCRD,JOSE LUIS SAMPEDRO,JARDIN,,DISTRITO,40.43386078113328,-3.710817294009322
