X,Y,FID,OID_,TIPOCEN2,TIPOVIAL,NOMVIA,NUMERO,MUNICIPIO,CODMUN,UTM_X,UTM_Y
-3.36599912191324,40.4816480968133,1,2,Centro de Salud Carmen Calzado,Calle,Carmen Calzado,     14,Alcal1 de Henares,005,468979,4481282
-3.35048046635821,40.4877322398648,2,8,Centro de Salud Juan de Austria,Avenida,Juan de Austria,     19,Alcal1 de Henares,005,470297,4481952
-3.39302921690241,40.4816404225152,3,9,Centro de Salud La Garena,Calle,Arturo Soria,     10,Alcal1 de Henares,005,466688,4481291
-3.36812222089192,40.4750557559686,4,6,Centro de Salud Luis Vives I y II,Calle,Luis Vives,     16,Alcal1 de Henares,005,468796,4480551
-3.35735361345621,40.4821616379152,5,5,Centro de Salud Manuel Merino,Calle,Manuel Merino,      1,Alcal  de Henares,005,469712,4481336
-3.3577099490685,40.4892776586669,6,7,Centro de Salud Marua de Guzm,Calle,Juan de Borgoua,      1,Alcal  de Henares,005,469685,4482126
-3.37123145092761,40.5105052487922,7,0,Centro de Salud Miguel de Cervantes,Avda.,Gustavo Adolfo Becquer,     23,Alcal2 de Henares,005,468549,4484487
-3.37566243331453,40.4711395928179,8,1,Centro de Salud Nuestra Sra. del Pilar,Calle,Ntra. Sra. del Pilar,     42,Alcal4 de Henares,005,468155,4480119
-3.37959850160293,40.4788114356574,9,3,Centro de Salud Puerta de Madrid,Avenida,del Ejarcito,     61,Alcal6 de Henares,005,467825,4480972
-3.37698563813812,40.4925857599708,10,4,Centro de Salud Reyes Magos,Avenida,de los Reyes Magos,     12,Alcal1 de Henares,005,468053,4482500
-3.63129431326333,40.5379714248206,11,11,Centro de Salud Arroyo de la Vega,Bulevar,de Salvador Allende,     22,Alcobendas,006,446538,4487661
-3.64011866043418,40.5408327390341,12,10,Centro de Salud La Chopera,Paseo,Chopera,     48,Alcobendas,006,445793,4487984
-3.64592941156556,40.5446111498363,13,13,Centro de Salud Marquos de la Valdavia,Paseo,Chopera,    100,Alcobendas,006,445304,4488407
-3.6372202234792,40.5477495515971,14,12,Centro de Salud Miraflores,Avenida,de Espa,     50,Alcobendas,006,446044,4488750
-3.65082793200751,40.5504664432566,15,14,Centro de Salud Valdelasfuentes,Calle,Dolores IbSrruri,      4,Alcobendas,006,444894,4489060
-3.81122296116136,40.3453715914223,16,17,Centro de Salud Dr. Pedro Latn Entralgo,Avenida,Libertad,      2,Alcorc2n,007,431104,4466407
-3.82907214380377,40.3481819915989,17,18,Centro de Salud Doctor Trueta,Plaza,de las Fraguas,      8,Alcorc8n,007,429591,4466733
-3.82084182012241,40.3423847731505,18,19,Centro de Salud Gregorio Mara,Calle,Escolares,      1,Alcorc1n,007,430284,4466083
-3.83454038291015,40.3409173594081,19,20,Centro de Salud La Rivota,Calle,Las Palmeras,      0,Alcorc0n,007,429119,4465931
-3.80834368710445,40.3507611814897,20,21,Centro de Salud Los Castillos,Calle,Carballino,     25,Alcorc5n,007,431354,4467003
-3.8338099291593,40.3475713500595,21,15,Centro de Salud Miguel Servet,Calle,Don Benito,      2,Alcorc2n,007,429188,4466669
-3.82222555388075,40.3496813334327,22,16,Centro de Salud Ramun y Cajal,Calle,Jabonerda,     67,Alcorc7n,007,430174,4466894
-3.50285424101548,40.5976819150755,23,22,Centro de Salud Algete,Calle,Carrachel,      1,Algete,009,457453,4494219
