PK,NOMBRE,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
6070995,Jardines Gregorio Ordóñez,,Zonas infantiles,"Metro: Núñez de Balboa (líneas 5 y 9) Bus: 1, 29, 52, 74  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2fba3c8f758ff210VgnVCM2000000c205a0aRCRD,PRINCIPE DE VERGARA,CALLE,V,68.0,MADRID,MADRID,28006.0,LISTA,SALAMANCA,442443.0,4476090.0,40.43346186779773,-3.6785954778654113
6010361,Jardines San Francisco el Grande,,No especificado,"Bus: 3, 60 y 148.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ffe7a3575e2ee210VgnVCM2000000c205a0aRCRD,GRAN VIA DE SAN FRANCISCO,AVENIDA,V,25.0,MADRID,MADRID,28005.0,PALACIO,CENTRO,439572.0,4473192.0,40.41002249621306,-3.714419912786956
5964519,Jardines de Andrés Saborit,,Zonas infantiles Zonas de mayores Circuito Biosaludable,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) Bus: 5, 68, 149, C1, C2 RENFE: Nuevos Ministerios  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1c51eadb333e210VgnVCM2000000c205a0aRCRD,RAIMUNDO FERNANDEZ VILLAVERDE,CALLE,V,32.0,MADRID,MADRID,28003.0,RIOS ROSAS,CHAMBERI,440726.0,4477510.0,40.44613326792272,-3.698969929557834
5896013,Jardines de El Buen Retiro,"Horario del parque    Primavera y verano (de abril a septiembre): desde las 6 hasta las 24 h.  Otoño e invierno (de octubre a marzo): desde las 6 hasta las 22 h.    Horario de las áreas caninas    Desde las 7:30 h hasta el cierre del parque.  Para labores puntuales de mantenimiento o reparaciones, se cerrará parcialmente el área, permitiendo el paso por una de las dos puertas a la zona que quede libre de la actuación.Se instalarán carteles para informar de estos periodos de cierre parcial del espacio con 24 h de antelación a su comienzo.","Zonas infantiles:  Zona del Pinar (Puerta del Ángel Caído) Campanillas Bajas (Puerta de España) Povar (Puerta de la Independencia) Hernani (Puerta de la Independencia) Plaza de Galicia (Puerta de Madrid) Plaza Sevilla (Puerta de América Española) Florida Park (Puerta de Reina Mercedes) Antigua Junta de Distrito (Puerta de Sainz  Baranda) Jardines de Herrero Palacios Campo Grande La Cabaña (Puerta de Mariano de Cavia) Paseo Coches, a la altura del Instituto Meteorológico  Zonas de mayores:  Paseo Coches, a la altura de Puerta de América Española Paseo Coches, a la altura del Instituto Meteorológico  Zonas caninas:  Entrada por Puerta de Mariano de Cavia  Instalaciones deportivas:  El Pinar (Puerta del Ángel Caído) Huerto Francés (Puerta del Ángel Caído)  Puntos de información ambiental:  Acceso por  C/ O&amp;acute;Donnell, 1. Acceso por la Puerta del Niño Jesús.  C/ Alfonso XII, junto a instalaciones deportivas.  Otros:  P: Viveros de Estufas - Plaza del Ángel Caído Q: Teatro de Títeres, entrada por Plaza de la Independencia R: Embarcadero, entrada por Plaza de la Independencia S: Casita de la Cabaña, entrada por Puerta de Mariano de Cavia","Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1) Autobuses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=499561945d9ec210VgnVCM2000000c205a0aRCRD,INDEPENDENCIA,PLAZA,V,7.0,MADRID,MADRID,28001.0,LOS JERONIMOS,RETIRO,441640.0,4474563.0,40.41964087412762,-3.68793370943788
10984428,Jardines de Gloria Fuertes,,Zona infantil,"Metro: línea 9 (Colombia) Bus: 16,29,150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4749c2d91fcb610VgnVCM1000001d4a900aRCRD,MADRE DE DIOS,CALLE,V,2.0,MADRID,MADRID,28016.0,NUEVA ESPAÑA,CHAMARTIN,442761.0,4479202.0,40.461517637696026,-3.675117900731762
5979527,Jardines de José Luis Jiménez Manso,,Zonas infantiles,"Metro: Estrella (línea 9) Bus: 20, 30, 32  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b4d31811a17e210VgnVCM1000000b205a0aRCRD,CAMINO DE LOS VINATEROS,CALLE,V,1.0,MADRID,MADRID,28030.0,MEDIA LEGUA,MORATALAZ,443959.0,4473579.0,40.410944943237865,-3.660501733743551
5965620,Jardines de Perón,,Zonas infantiles  Zonas caninas Instalaciones deportivas,"Metro: Santiago Bernabéu (línea 10) Bus: 3, 5, 43, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=73f370530083e210VgnVCM1000000b205a0aRCRD,GENERAL PERON,AVENIDA,V,21.0,MADRID,MADRID,28020.0,CUATRO CAMINOS,TETUAN,441002.0,4478224.0,40.45257591499544,-3.6957817548357257
6010175,Jardines de Sabatini,,No especificado,"Metro: Opera   Bus: 2, 146   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20baf389ed2ee210VgnVCM1000000b205a0aRCRD,BAILEN,CALLE,V,2.0,MADRID,MADRID,28013.0,PALACIO,CENTRO,439498.0,4474610.0,40.41991128710114,-3.713185308888602
5965246,Jardines de San Fernando,,Zonas infantiles,"Metro: Cuzco (línea 10) Bús: 5, 11, 40, 140, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e6e121dcd33e210VgnVCM1000000b205a0aRCRD,ALBERTO ALCOCER,AVENIDA,V,9.0,MADRID,MADRID,28036.0,NUEVA ESPAÑA,CHAMARTIN,441724.0,4479019.0,40.45978849094378,-3.687352342212426
5965719,Jardines de la Avenida de Brasil,,Zonas infantiles Zonas caninas,"Bus: 5, 126, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d398680e2383e210VgnVCM1000000b205a0aRCRD,BRASIL,AVENIDA,V,31.0,MADRID,MADRID,28020.0,CASTILLEJOS,TETUAN,441204.0,4478902.0,40.45870695300224,-3.6934625569379382
5965967,Jardines de la Basílica,,No especificado,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) RENFE: Nuevos Ministerios Bus: 5 , 69 y 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=58df433bf683e210VgnVCM1000000b205a0aRCRD,BASILICA,CALLE,V,15.0,MADRID,MADRID,28020.0,CUATRO CAMINOS,TETUAN,441014.0,4477831.0,40.44903638127448,-3.695615530710886
5964911,Jardines de la Plaza Conde del Valle de Suchil,,Zonas infantiles Zonas caninas,"Metro: San Bernardo (líneas 2 y 4) Bus: 16, 21, 61  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7c3042197833e210VgnVCM2000000c205a0aRCRD,RODRIGUEZ SAN PEDRO,CALLE,V,3.0,MADRID,MADRID,28015.0,ARAPILES,CHAMBERI,440078.0,4475877.0,40.43137597367309,-3.7064685006782208
5963489,Jardines de la Plaza de Chamberí,,Zonas Infantiles,"Metro: Iglesia (línea 1) Bus: 3, 40 y 147  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3d6ee4002e2e210VgnVCM2000000c205a0aRCRD,CHAMBERI,PLAZA,V,1.0,MADRID,MADRID,28010.0,ALMAGRO,CHAMBERI,440832.0,4476036.0,40.43285328749453,-3.697594475998512
5963151,Jardines de la Plaza de Olavide,,Zonas infantiles Zonas de mayores,"Metro: Bilbao (línea 1, 4) Bus: 3, 16, 37, 40, 61, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=091b882aacd2e210VgnVCM2000000c205a0aRCRD,OLAVIDE,PLAZA,V,16.0,MADRID,MADRID,28010.0,TRAFALGAR,CHAMBERI,440560.0,4475996.0,40.43247362678542,-3.700785562182429
6010975,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",,Zonas infantiles,"Metro: Ópera (líneas 2, 5 y ramal) Autobús: 25, 39  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5089e51ecd6ee210VgnVCM2000000c205a0aRCRD,BAILEN,CALLE,V,17.0,MADRID,MADRID,28013.0,PALACIO,CENTRO,439526.0,4474437.0,40.41835486065351,-3.712838830603048
6067949,Jardines de la Plaza de la Villa de París,,Zonas infantiles Zonas caninas,"Metro: Colón (línea 4) Bus: 5, 14, 21 ,27, 37, 45, 53, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e069432ff3ef210VgnVCM2000000c205a0aRCRD,GENERAL CASTAÑOS,CALLE,V,6.0,MADRID,MADRID,28004.0,JUSTICIA,CENTRO,441178.0,4475295.0,40.42620255233654,-3.693446898367585
6009972,Jardines de la Vega,,No especificado,"Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44ed25154c2ee210VgnVCM1000000b205a0aRCRD,VEGA,CUESTA,V,1.0,MADRID,MADRID,28013.0,PALACIO,CENTRO,439301.0,4474039.0,40.41476219795408,-3.71544111428354
5990847,Jardines de la calle Teresita González Quevedo,,No especificado,"Bus: 3, 5, 126   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a4e4eff905ae210VgnVCM2000000c205a0aRCRD,SAN AMARO,PLAZA,V,4.0,MADRID,MADRID,28020.0,CUATRO CAMINOS,TETUAN,440900.0,4478558.0,40.45558642017734,-3.697027564909845
