X,Longitud,TIPOCEN2,TIPOVIAL,DIRECCION,NUM,MUNICIPIO
-3.36599912191324,40.4816480968133,Centro de Salud Carmen Calzado,Calle,Carmen Calzado,14,Alcalá de Henares
-3.35048046635821,40.4877322398648,Centro de Salud Juan de Austria,Avenida,Juan de Austria,19,Alcalá de Henares
-3.39302921690241,40.4816404225152,Centro de Salud La Garena,Calle,Arturo Soria,10,Alcalá de Henares
-3.36812222089192,40.4750557559686,Centro de Salud Luis Vives I y II,Calle,Luis Vives,16,Alcalá de Henares
-3.35735361345621,40.4821616379152,Centro de Salud Manuel Merino,Calle,Manuel Merino,1,Alcal  de Henares
-3.3577099490685,40.4892776586669,Centro de Salud Marua de Guzm,Calle,Juan de Borgoua,1,Alcal  de Henares
-3.37123145092761,40.5105052487922,Centro de Salud Miguel de Cervantes,Avda.,Gustavo Adolfo Becquer,23,Alcalá de Henares
-3.37566243331453,40.4711395928179,Centro de Salud Nuestra Sra. del Pilar,Calle,Ntra. Sra. del Pilar,42,Alcalá de Henares
-3.37959850160293,40.4788114356574,Centro de Salud Puerta de Madrid,Avenida,del Ejarcito,61,Alcalá de Henares
-3.37698563813812,40.4925857599708,Centro de Salud Reyes Magos,Avenida,de los Reyes Magos,12,Alcalá de Henares
-3.63129431326333,40.5379714248206,Centro de Salud Arroyo de la Vega,Bulevar,de Salvador Allende,22,Alcobendas
-3.64011866043418,40.5408327390341,Centro de Salud La Chopera,Paseo,Chopera,48,Alcobendas
-3.64592941156556,40.5446111498363,Centro de Salud Marquos de la Valdavia,Paseo,Chopera,100,Alcobendas
-3.6372202234792,40.5477495515971,Centro de Salud Miraflores,Avenida,de Espa,50,Alcobendas
-3.65082793200751,40.5504664432566,Centro de Salud Valdelasfuentes,Calle,Dolores IbSrruri,4,Alcobendas
-3.81122296116136,40.3453715914223,Centro de Salud Dr. Pedro Latn Entralgo,Avenida,Libertad,2,Alcorcón
-3.82907214380377,40.3481819915989,Centro de Salud Doctor Trueta,Plaza,de las Fraguas,8,Alcorcón
-3.82084182012241,40.3423847731505,Centro de Salud Gregorio Mara,Calle,Escolares,1,Alcorcón
-3.83454038291015,40.3409173594081,Centro de Salud La Rivota,Calle,Las Palmeras,0,Alcorcón
-3.80834368710445,40.3507611814897,Centro de Salud Los Castillos,Calle,Carballino,25,Alcorcón
-3.8338099291593,40.3475713500595,Centro de Salud Miguel Servet,Calle,Don Benito,2,Alcorcón
-3.82222555388075,40.3496813334327,Centro de Salud Ramun y Cajal,Calle,Jabonerda,67,Alcorcón
-3.50285424101548,40.5976819150755,Centro de Salud Algete,Calle,Carrachel,1,Algete
-3.5988841272791,40.0318136223609,Centro de Salud Aranjuez,Calle,Abastos,0,Aranjuez
-3.61283636398316,40.0258123103061,Centro de Salud Las Olivas,Paseo,Deleite,30,Aranjuez
-3.44553653356371,40.3106997055025,Centro de Salud Arganda,Calle,Felicidad,2,Arganda del Rey
-3.43262969212876,40.2964599635351,Centro de Salud Arganda del Rey,Camino,del Molino,0,Arganda del Rey
-3.8833296470976,40.4039967497382,Centro de Salud Condes de Barcelona,Calle,Ronda,10,Boadilla del Monte
-3.63579365369046,40.9930393513529,Centro de Salud Buitrago de Lozoya,Paseo,del R,10,Buitrago de Lozoya
-4.43710409513174,40.3002076546066,Centro de Salud Cadalso de los Vidrios,Calle,Doctor MenSndez,5,Cadalso de los Vidrios
-3.38077325512384,40.3378056266771,Centro de Salud Campo Real,Calle,de las Escuelas,1,Campo Real
-4.05087793352953,40.7411862639279,Centro de Salud Cercedilla,Avenida,de los Toreros,7,Cercedilla
-3.61576653652309,40.1586158462846,Centro de Salud Ciempozuelos,Calle,Padre Benito Menni,0,Ciempozuelos
-4.00155994459108,40.6265679197659,Centro de Salud Collado Villalba-estaci,Calle,Madro,5,Collado Villalba
-3.9944170860709,40.6440072414795,Centro de Salud Collado Villalba-pueblo,Calle,Fuente del Alamo,10,Collado Villalba
-4.01188781877933,40.6269553400274,Centro de Salud Collado Villalba-Sierra de Guadarrama,Calle,Ignacio Gonzllez Serrano,27,Collado Villalba
-3.39165783169727,40.114362825904,Centro de Salud Colmenar de Oreja,Calle,Alegas,1,Colmenar de Oreja
-3.77408208600205,40.6632523799059,Centro de Salud Colmenar Viejo Norte,Plaza,de los Reos,1,Colmenar Viejo
-3.76208210045256,40.6608097854541,Centro de Salud Colmenar Viejo Sur,Calle,Doctor Cecilio de la Morena Arranz,3,Colmenar Viejo
-3.54142928246785,40.4199322273815,Centro de Salud Ciudad San Pablo,Avenida,Madrid,11,Coslada
-3.56325018914795,40.4286658795015,Centro de Salud Doctor Tamames,Calle,Alameda,1,Coslada
-3.56751033016849,40.4193566949919,Centro de Salud El Puerto,Calle,Ocelno PacSfico,3,Coslada
-3.552032892673,40.4207379472685,Centro de Salud Jaime Vera,Avenida,Espaia,0,Coslada
-3.54256666833606,40.4250530609021,Centro de Salud Valleaguado,Avenida,Principes de Espaaa,30,Coslada
-3.8390881028657,40.1869797826129,Centro de Salud Dr. Aguilar,Calle,San Isidro,5,Cubas de la Sagra
-3.58143415924905,40.7376594565399,Centro de Salud El Molar,Calle,San Isidro,0,El Molar
-3.79317225553876,40.2900183520043,Centro de Salud Alicante,Calle,Alicante,3,Fuenlabrada
-3.79610272544255,40.2941154304489,Centro de Salud Castilla la Nueva,Calle,Teruel,4,Fuenlabrada
-3.78914228445559,40.2894693203589,Centro de Salud Cuzco,Calle,Cuzco,4,Fuenlabrada
-3.80884136866975,40.2948108730739,Centro de Salud El Naranjo,Calle,Aviles,2,Fuenlabrada
-3.80728603771729,40.2857224427582,Centro de Salud Francia,Calle,Francia,38,Fuenlabrada
-3.79808059658083,40.2782185642243,Centro de Salud Panaderas,Calle,de las Panaderas,9,Fuenlabrada
-3.83639809373322,40.29684020289,Centro de Salud Parque Loranca,Calle,Alegr,2,Fuenlabrada
-3.99734560596061,40.5840835857381,Centro de Salud Galapagar,Avda,Vvctimas del Terrorismo,3,Galapagar
-3.73845304964414,40.3256065109909,Centro de Salud El Bercial,Avenida,del Parque,12,Getafe
-3.73662734077001,40.2984193981159,Centro de Salud El Greco,Avenida,Reyes Cat licos,37,Getafe
-3.71621771462939,40.3222867960407,Centro de Salud Getafe Norte,Avenida,Rigoberta Mench ,2,Getafe
-3.72544479027477,40.3056974278841,Centro de Salud Juan de la Cierva,Avenida,Juan de la Cierva,0,Getafe
-3.71381539129119,40.3143555388923,Centro de Salud Las Ciudades,Calle,"Palestina, s/n esq. C/ Francisco Fernrndez Orddaez",0,Getafe
-3.7298933930486,40.3166696753677,Centro de Salud Margaritas,Calle,Magallanes,6,Getafe
-3.65821845644377,40.3240998585812,Centro de Salud Perales del Rso,Calle,Juan de Mairena,0,Getafe
-3.72287860260149,40.3133442847961,Centro de Salud Senchez Morate,Calle,Huelva,2,Getafe
-3.74844956737523,40.296019143784,Centro de Salud Sector III,Avenida,Juan Carlos I,1,Getafe
-3.85156455911357,40.2152410112641,Centro de Salud Griton,Calle,Calvario,1,Griñon
-4.08835705584957,40.6724287176994,Centro de Salud Guadarrama,Calle,de los Reyes CatGlicos,2,Guadarrama
-3.82813968435629,40.2545292696201,Centro de Salud Humanes,Calle,Ferrocarril,4,Humanes de Madrid
-3.61438815629071,40.864246989786,Centro de Salud La Cabrera,Plaza,de la Concordia,2,La Cabrera
-3.8782093995204,40.4896206409197,Centro de Salud El Abajen Las Rozas,Calle,Principado de Asturias,30,Las Rozas
-3.92020481676311,40.5155726497843,Centro de Salud Monterrozas,Calle,Arist,9,Las Rozas
-3.75698490977705,40.327036297314,Centro de Salud Dr. Mendiguch a Carriche,Plaza,Comunidad de Madrid,0,Leganés
-3.77623153105747,40.3209176506999,Centro de Salud Huerta de los Frailes,Avenida,de los Pinos,30,Leganés
-3.74595518196333,40.3302431409499,Centro de Salud Jaime Vera,Avenida,Europa,1,Leganés
-3.74827407343189,40.3451473151535,Centro de Salud Leganes-Norte,Calle,Carrmen Martln Gaite,16,Leganés
-3.75275641684224,40.3373973944846,Centro de Salud Maria Angeles Lrpez G,Calle,Maria Angeles L pez G mez,2,Leganés
-3.76711211446301,40.3367355007766,Centro de Salud Maria Angeles Lrpez G,Calle,Jesus Miguel Hadad Blanco,2,Leganés
-3.74448238717801,40.3376221196645,Centro de Salud Maria Montessori,Avenida,Portugal,2,Leganés
-3.7788369806416,40.3601889744713,Centro de Salud Marie Curie (La Fortuna),Calle,San Bernardo,13,Leganés
-3.76688139495686,40.326754889841,Centro de Salud Santa Isabel,Calle,Isabel la Catulica c/v Calle Velasco,0,Leganés
-3.71768068001955,40.4724228553387,Centro de Salud Dr. Castroviejo,Calle,Candido Mateos,11,Madrid
-3.72738368018417,40.3810738024364,Centro de Salud Abrantes,Avenida,Abrantes,55,Madrid
-3.6746042250091,40.4009705011035,Centro de Salud Adelfas,Avda,Ciudad de Barcelona,190,Madrid
-3.69373802568372,40.4120825757127,Centro de Salud Alameda,Calle,Alameda,5,Madrid
-3.5865538829589,40.4554149445831,Centro de Salud Alameda de Osuna,Calle,Carabela,7,Madrid
-3.65718302107776,40.3896382948381,Centro de Salud Alcald de Guadaira,Calle,Alcal,4,Madrid
-3.70157599219902,40.3825846207837,Centro de Salud Almendrales,Calle,Visitacien,5,Madrid
-3.71433273196675,40.4381193820769,Centro de Salud Andrns Mellado,Calle,Andres Mellado,65,Madrid
-3.66407276390743,40.3821484057495,Centro de Salud Angela Uriarte,Calle,Candilejas,66,Madrid
-3.61761298441773,40.4187215263274,Centro de Salud Aquitania,Calle,Aquitania,22,Madrid
-3.71726511093622,40.4278039228716,Centro de Salud Argielles,Calle,Quintana,11,Madrid
-3.65448938364297,40.4120051043372,Centro de Salud Arroyo de la Medialegua,Calle,Arroyo de la Media Legua,35,Madrid
-3.60870193358954,40.4056605777029,Centro de Salud Artilleros,Paseo,Artilleros,31,Madrid
-3.63716490908453,40.4383632531181,Centro de Salud Avda. de AragMn,Calle,Alcal,425,Madrid
-3.58192933644598,40.4716545269578,Centro de Salud Barajas,Avenida,Logrodo,319,Madrid
-3.70188163741355,40.4777720967764,Centro de Salud Barrio del Pilar,Calle,Finisterre,18,Madrid
-3.66318019409656,40.4424601866483,Centro de Salud Baviera,Avenida,Baviera,9,Madrid
-3.65034372649166,40.4649385010412,Centro de Salud Benita de Avila,Calle,Benita de Avila,26,Madrid
-3.65358587894507,40.3941452122281,Centro de Salud Buenos Aires,Calle,Pio Felipe,26,Madrid
-3.69543385342128,40.4622976388484,Centro de Salud Bustarviejo,Calle,Bustarviejo,5,Madrid
-3.69503767052519,40.3986422577424,Centro de Salud Cuceres,Calle,Caceres,4,Madrid
-3.78158289648613,40.3939905277248,Centro de Salud Campamento,Calle,Mirue,5,Madrid
-3.64787321005925,40.382069125904,Centro de Salud Campo de la Paloma,Calle,Villalobos,14,Madrid
-3.65273225190885,40.4411682995848,Centro de Salud Canal de Panaml,Calle,Verdaguer y GarcCa,56,Madrid
-3.61435681032471,40.4443155556464,Centro de Salud Canillejas,Calle,Bolta,5,Madrid
-3.75407430617665,40.3616503959201,Centro de Salud Carabanchel Alto,Avenida,de Carabanchel Alto,150,Madrid
-3.72802786311968,40.40916903194,Centro de Salud Caramuel,Calle,Fuenteovejuna,17,Madrid
-3.73129155740929,40.427589922387,Centro de Salud Casa de Campo,Calle,Ribera del Manzanares,113,Madrid
-3.68137641171261,40.4286426368381,Centro de Salud Castell ,Calle,Castelld,63,Madrid
-3.70713729904452,40.4389474039187,Centro de Salud Cea Berm,Calle,Cea Bermedez,10,Madrid
-3.74844992520971,40.4057593453952,Centro de Salud Cebreros,Calle,Cebreros,74,Madrid
-3.60375077758824,40.3804340068265,Centro de Salud Cerro Almodovar,Calle,Fuentespina,2,Madrid
-3.70281603615492,40.4859195115823,Centro de Salud Ciudad de los Periodistas,Calle,Valencia de don Juan,10,Madrid
-3.67048022155937,40.4473189782334,Centro de Salud Ciudad Jardon,Calle,Pantoja,3,Madrid
-3.70999594853345,40.3923531337963,Centro de Salud Comillas,Calle,Eduardo Marquina,33,Madrid
-3.65826684595718,40.430749508894,Centro de Salud Daroca,Avenida,Daroca,4,Madrid
-3.69511961154845,40.404317478447,Centro de Salud Delicias,Calle,Delicias,5,Madrid
-3.6370190341794,40.4354000857545,Centro de Salud Dr. Cirajas,Calle,Doctor Cirajas,20,Madrid
-3.68924405626608,40.3585774083747,Centro de Salud El Espinillo,Avenida,Orovilla,53,Madrid
-3.77691189362878,40.5184717505459,Centro de Salud El Pardo,Calle,Primero de Octubre,2,Madrid
-3.70122773959977,40.4341815977843,Centro de Salud Eloy Gonzalo,Calle,Eloy Gonzalo,24,Madrid
-3.69939738814003,40.402030406587,Centro de Salud Embajadores,Calle,Cardenal Solis,6,Madrid
-3.6240887008343,40.3681546992488,Centro de Salud Ensanche de Vallecas,Calle,Cincovillas,1,Madrid
-3.66980449361254,40.3792054064503,Centro de Salud Entrevhas,Calle,Pedroches,0,Madrid
-3.69668322536995,40.4405153832101,Centro de Salud Espronceda,Calle,Espronceda,24,Madrid
-3.64800398625556,40.4399426464119,Centro de Salud Estrecho de Corea,Calle,Estrecho de Corea,1,Madrid
-3.63971355194059,40.3875290283457,Centro de Salud Federica Montseny,Avenida,Albufera,285,Madrid
-3.68584854192787,40.4916700515554,Centro de Salud Fuencarral,Calle,Ntra. Sra. de Valverde C/V. Isla de Java,0,Madrid
-3.73384274815269,40.4822312032773,Centro de Salud Fuentelarreina,Calle,Alfonso Rodrlguez Castelao,17,Madrid
-3.63155892191689,40.425186761754,Centro de Salud Gandhi,Calle,Gandhi,30,Madrid
-3.62780533467896,40.4233963859874,Centro de Salud Garcha Noblejas,Calle,Hermanos Garcua Noblejas,168,Madrid
-3.77733175185928,40.3819110046104,Centro de Salud General Fanjul,Avenida,General Fanjul,18,Madrid
-3.72820528274364,40.390636276884,Centro de Salud General Ricardos,Calle,General Ricardos,131,Madrid
-3.67152084611775,40.4215381170566,Centro de Salud Goya,Calle,O'Donnell,55,Madrid
-3.74795982880254,40.3731857190519,Centro de Salud Guayaba,Calle,Antonia Rodrlguez Sacristin,4,Madrid
-3.71358822871566,40.4312681221481,Centro de Salud Guzmcn el Bueno,Calle,Guzmen El Bueno,11,Madrid
-3.67799739643174,40.4185183238094,Centro de Salud Ibiza,Calle,Ibiza,7,Madrid
-3.69946576683525,40.4530120781516,Centro de Salud Infanta Mercedes,Calle,Infanta Mercedes,7,Madrid
-3.7269273635859,40.4678696020453,Centro de Salud Isla de Oza,Calle,San Martin de Porres,6,Madrid
-3.66318310620625,40.4823339348192,Centro de Salud Jazm,Calle,Jazmen,33,Madrid
-3.70975153711489,40.3814176031424,Centro de Salud Joaqunn Rodrigo,Calle,Mariano Vela,62,Madrid
-3.66160014798831,40.3714507386879,Centro de Salud Josq MarRa Llanos,Calle,Cabo Machichaco,62,Madrid
-3.69673124040924,40.4634339654783,Centro de Salud Josq Marva,Calle,Bravo Murillo,317,Madrid
-3.69677689454479,40.4244607442615,Centro de Salud Justicia,Calle,Regueros,3,Madrid
-3.6988781736257,40.471420966097,Centro de Salud La Ventilla,Avenida,Asturias,61,Madrid
-3.68420564097002,40.4356079215676,Centro de Salud Lagasca,Calle,Lagasca,122,Madrid
-3.76848410630157,40.3787809279766,Centro de Salud Las sguilas I y II,Calle,Jose de Cadalso,51,Madrid
-3.70564649129816,40.3899382972421,Centro de Salud Las Calesas,Calle,Calesas,12,Madrid
-3.69900454669716,40.4164562800524,Centro de Salud Cortes,Carrera,San Jer,32,Madrid
-3.70385123959041,40.4076250343129,Centro de Salud Lavapi,Calle,Embajadores,41,Madrid
-3.69164567388523,40.3895994616294,Centro de Salud Legazpi,Calle,Antracita,2,Madrid
