Actividad;Intesidad;Cal/Kg/h;Equipo;Equipamiento;Contacto;Pelota;Raqueta;
BMX;nan;8,504;0;1;0;0;0;
Ciclismo;1;3,999;0;1;0;0;0;
Ciclismo;2;5,998;0;1;0;0;0;
Ciclismo;3;8,004;0;1;0;0;0;
Ciclismo;4;10,004;0;1;0;0;0;
Ciclismo;5;12,003;0;1;0;0;0;
Ciclismo estacionario;1;2,999;0;0;0;0;0;
Ciclismo estacionario;2;5,502;0;0;0;0;0;
Ciclismo estacionario;3;7,001;0;0;0;0;0;
Ciclismo estacionario;4;10,504;0;0;0;0;0;
Ciclismo estacionario;5;12,507;0;0;0;0;0;
Calistenia;1;3,502;0;0;0;0;0;
Calistenia;2;8,004;0;0;0;0;0;
Entrenamiento en circuito;nan;8,004;0;0;0;0;0;
Levantamiento de peso;1;2,999;0;0;0;0;0;
Levantamiento de peso;2;5,998;0;0;0;0;0;
Máquina escaladora;nan;9,001;0;0;0;0;0;
Aeróbicos;1;5,002;0;0;0;0;0;
Aeróbicos;2;6,502;0;0;0;0;0;
Aeróbicos;3;7,001;0;0;0;0;0;
Yoga;nan;3,999;0;0;0;0;0;
Aeróbicos acuáticos;nan;3,999;0;0;0;0;0;
Correr;nan;8,004;0;0;0;0;0;
Atletismo;1;3,999;0;0;0;0;0;
Atletismo;2;5,998;0;0;0;0;0;
Atletismo;3;10,004;0;0;0;0;0;
Bádminton;nan;4,505;1;1;0;0;1;
Baloncesto;nan;7,001;1;0;0;1;0;
Bolos;nan;2,999;0;0;0;1;0;
Billar;nan;2,503;0;0;0;0;0;
Boxeo;nan;7,499;0;0;1;0;0;
Dardos;nan;2,503;0;0;0;0;0;
Frisbee;nan;2,999;1;1;0;0;0;
Ultimate frisbee;nan;8,004;1;1;0;0;0;
Golf;nan;4,505;0;1;0;0;0;
Minigolf;nan;2,999;0;0;0;0;0;
Gimnasia;nan;3,999;0;0;0;0;0;
Balonmano;nan;12,003;1;0;0;1;0;
Hockey;nan;8,004;1;1;0;0;0;
Petanca;nan;2,999;0;0;0;1;0;
Calva;nan;2,999;0;0;0;1;0;
Artes marciales;nan;10,004;1;0;1;0;0;
Kickboxing;nan;10,004;0;0;1;0;0;
Kickball;nan;7,001;1;0;0;1;0;
Pádel;nan;5,998;1;1;0;1;1;
Raquetbol;nan;7,001;1;1;0;1;1;
Escalada;nan;9,504;0;0;0;0;0;
Salto a la comba;1;8,004;0;1;0;0;0;
Salto a la comba;2;10,004;0;1;0;0;0;
Salto a la comba;3;12,003;0;1;0;0;0;
Chito;nan;2,999;0;0;0;1;0;
Skateboard;nan;5,002;0;1;0;0;0;
Patinaje;nan;7,001;0;1;0;0;0;
Fútbol;nan;10,004;1;0;0;1;0;
Fútbol sala;nan;7,001;1;0;0;1;0;
Sóftbol;nan;5,002;1;1;0;1;0;
Béisbol;nan;5,002;1;1;0;1;0;
Tenis de mesa / ping pong;nan;3,999;1;1;0;1;1;
Tai chi;nan;3,999;0;0;0;0;0;
Tenis;nan;7,503;1;1;0;1;1;
Tenis en pareja;nan;5,998;1;1;0;1;1;
Voleibol;nan;8,004;1;0;0;1;0;
Marcha rápida;nan;6,502;0;0;0;0;0;
Montañismo;nan;8,004;0;0;0;0;0;
Caminar;1;2,999;0;0;0;0;0;
Caminar;2;5,002;0;0;0;0;0;
Caminar;3;6,301;0;0;0;0;0;
Natación;1;5,998;0;0;0;0;0;
Natación;2;8,004;0;0;0;0;0;
Natación;3;10,337;0;0;0;0;0;
Nado sincronizado;nan;8,004;1;0;0;0;0;
Waterpolo;nan;10,004;1;0;0;1;0;
Voleibol acuático;nan;2,999;1;0;0;1;0;
Patinaje sobre hielo;nan;12,003;0;0;0;0;0;
Frontenis;nan;7,503;0;1;0;1;1;
Senderismo;nan;5,998;0;0;0;0;0;
